"name"	"package"	"summary"	"Description"	"Usage"	"Arguments"	"error"
"kmeans_tidiers"	"broom"	"Tidying methods for kmeans objects"	"<p>These methods summarize the results of k-means clustering into three tidy forms. <code>tidy</code> describes the center and size of each cluster, <code>augment</code> adds the cluster assignments to the original data, and <code>glance</code> summarizes the total within and between sum of squares of the clustering. </p>"	"<pre>## S3 method for class 'kmeans' tidy(x, col.names = paste0('x', 1:ncol(x$centers)), ...)<br />## S3 method for class 'kmeans' augment(x, data, ...)<br />## S3 method for class 'kmeans' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>kmeans object</p> </td> </tr> <tr valign='top'> <td><code>col.names</code></td> <td> <p>The names to call each dimension of the data in <code>tidy</code>. Defaults to <code>x1, x2...</code></p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments, not used</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data (required for <code>augment</code>)</p> </td> </tr> </table> "	FALSE
"lm_tidiers"	"broom"	"Tidying methods for a linear model"	"<p>These methods tidy the coefficients of a linear model into a summary, augment the original data with information on the fitted values and residuals, and construct a one-row glance of the model's statistics. </p>"	"<pre>## S3 method for class 'lm' tidy(x, conf.int = FALSE, conf.level = 0.95,<br />   exponentiate = FALSE, quick = FALSE, ...)<br />## S3 method for class 'summary.lm' tidy(x, ...)<br />## S3 method for class 'lm' augment(x, data = stats::model.frame(x), newdata, type.predict,<br />   type.residuals, ...)<br />## S3 method for class 'lm' glance(x, ...)<br />## S3 method for class 'summary.lm' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>lm object</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>whether to include a confidence interval</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level of the interval, used only if <code>conf.int=TRUE</code></p> </td> </tr> <tr valign='top'> <td><code>exponentiate</code></td> <td> <p>whether to exponentiate the coefficient estimates and confidence intervals (typical for logistic regression)</p> </td> </tr> <tr valign='top'> <td><code>quick</code></td> <td> <p>whether to compute a smaller and faster version, containing only the <code>term</code> and <code>estimate</code> columns.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data, defaults to the extracting it from the model</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>If provided, performs predictions on the new data</p> </td> </tr> <tr valign='top'> <td><code>type.predict</code></td> <td> <p>Type of prediction to compute for a GLM; passed on to <code>predict.glm</code></p> </td> </tr> <tr valign='top'> <td><code>type.residuals</code></td> <td> <p>Type of residuals to compute for a GLM; passed on to <code>residuals.glm</code></p> </td> </tr> </table> "	FALSE
"nlme_tidiers"	"broom"	"Tidying methods for mixed effects models"	"<p>These methods tidy the coefficients of mixed effects models of the <code>lme</code> class from functions  of the <code>nlme</code> package. </p>"	"<pre>## S3 method for class 'lme' tidy(x, effects = 'random', ...)<br />## S3 method for class 'lme' augment(x, data = x$data, newdata, ...)<br />## S3 method for class 'lme' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>An object of class <code>lme</code>, such as those from <code>lme</code> or <code>nlme</code></p> </td> </tr> <tr valign='top'> <td><code>effects</code></td> <td> <p>Either 'random' (default) or 'fixed'</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>original data this was fitted on; if not given this will attempt to be reconstructed</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>new data to be used for prediction; optional</p> </td> </tr> </table> "	FALSE
"loess_tidiers"	"broom"	"Augmenting methods for loess models"	"<p>This method augments the original data with information on the fitted values and residuals, and optionally the  standard errors. </p>"	"<pre>## S3 method for class 'loess' augment(x, data = stats::model.frame(x), newdata, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>A 'loess' object</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data, defaults to the extracting it from the model</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>If provided, performs predictions on the new data</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments</p> </td> </tr> </table> "	FALSE
"mclust_tidiers"	"broom"	"Tidying methods for Mclust objects"	"<p>These methods summarize the results of Mclust clustering into three tidy forms. <code>tidy</code> describes the size, mixing probability, mean and variabilty of each class, <code>augment</code> adds the class assignments and their probabilities to the original data, and <code>glance</code> summarizes the model parameters of the clustering. </p>"	"<pre>## S3 method for class 'Mclust' tidy(x, ...)<br />## S3 method for class 'Mclust' augment(x, data, ...)<br />## S3 method for class 'Mclust' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>Mclust object</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments, not used</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data (required for <code>augment</code>)</p> </td> </tr> </table> "	FALSE
"lme4_tidiers"	"broom"	"Tidying methods for mixed effects models"	"<p>These methods tidy the coefficients of mixed effects models, particularly responses of the <code>merMod</code> class </p>"	"<pre>## S3 method for class 'merMod' tidy(x, effects = c('ran_pars', 'fixed'), scales = NULL,<br />   ran_prefix = NULL, conf.int = FALSE, conf.level = 0.95,<br />   conf.method = 'Wald', ...)<br />## S3 method for class 'merMod' augment(x, data = stats::model.frame(x), newdata, ...)<br />## S3 method for class 'merMod' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>An object of class <code>merMod</code>, such as those from <code>lmer</code>, <code>glmer</code>, or <code>nlmer</code></p> </td> </tr> <tr valign='top'> <td><code>effects</code></td> <td> <p>A character vector including one or more of 'fixed' (fixed-effect parameters), 'ran_pars' (variances and covariances or standard deviations and correlations of random effect terms) or 'ran_modes' (conditional modes/BLUPs/latent variable estimates)</p> </td> </tr> <tr valign='top'> <td><code>scales</code></td> <td> <p>scales on which to report the variables: for random effects, the choices are ‘'sdcor'’ (standard deviations and correlations: the default if <code>scales</code> is <code>NULL</code>) or ‘'vcov'’ (variances and covariances). <code>NA</code> means no transformation, appropriate e.g. for fixed effects; inverse-link transformations (exponentiation or logistic) are not yet implemented, but may be in the future.</p> </td> </tr> <tr valign='top'> <td><code>ran_prefix</code></td> <td> <p>a length-2 character vector specifying the strings to use as prefixes for self- (variance/standard deviation) and cross- (covariance/correlation) random effects terms</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>whether to include a confidence interval</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level for CI</p> </td> </tr> <tr valign='top'> <td><code>conf.method</code></td> <td> <p>method for computing confidence intervals (see <code>lme4::confint.merMod</code>)</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>original data this was fitted on; if not given this will attempt to be reconstructed</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>new data to be used for prediction; optional</p> </td> </tr> </table> "	FALSE
"rq_tidiers"	"broom"	"Tidying methods for quantile regression models"	"<p>These methods tidy the coefficients of a quantile regression model into a summary, augment the original data with information on the fitted values and residuals, and construct a glance of the model's statistics. </p>"	"<pre>## S3 method for class 'rq' tidy(x, se.type = 'rank', conf.int = TRUE, conf.level = 0.95,<br />   alpha = 1 - conf.level, ...)<br />## S3 method for class 'rqs' tidy(x, se.type = 'rank', conf.int = TRUE,<br />   conf.level = 0.95, alpha = 1 - conf.level, ...)<br />## S3 method for class 'nlrq' tidy(x, conf.int = FALSE, conf.level = 0.95, ...)<br />## S3 method for class 'rq' glance(x, ...)<br />## S3 method for class 'nlrq' glance(x, ...)<br />## S3 method for class 'rq' augment(x, data = model.frame(x), newdata, ...)<br />## S3 method for class 'rqs' augment(x, data = model.frame(x), newdata, ...)<br />## S3 method for class 'nlrq' augment(x, data = NULL, newdata = NULL, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>model object returned by <code>rq</code> or <code>nlrq</code></p> </td> </tr> <tr valign='top'> <td><code>se.type</code></td> <td> <p>Type of standard errors to calculate; see <code>summary.rq</code></p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>boolean; should confidence intervals be calculated, ignored if <code>se.type = 'rank'</code></p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level for intervals</p> </td> </tr> <tr valign='top'> <td><code>alpha</code></td> <td> <p>confidence level when <code>se.type = 'rank'</code>; defaults to the same as <code>conf.level</code> although the specification is inverted</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data, defaults to extracting it from the model</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>If provided, new data frame to use for predictions</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>other arguments passed on to <code>summary.rq</code></p> </td> </tr> </table> "	FALSE
"nls_tidiers"	"broom"	"Tidying methods for a nonlinear model"	"<p>These methods tidy the coefficients of a nonlinear model into a summary, augment the original data with information on the fitted values and residuals, and construct a one-row glance of the model's statistics. </p>"	"<pre>## S3 method for class 'nls' tidy(x, conf.int = FALSE, conf.level = 0.95, quick = FALSE,<br />   ...)<br />## S3 method for class 'nls' augment(x, data = NULL, newdata = NULL, ...)<br />## S3 method for class 'nls' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>An object of class 'nls'</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>whether to include a confidence interval</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level of the interval, used only if <code>conf.int=TRUE</code></p> </td> </tr> <tr valign='top'> <td><code>quick</code></td> <td> <p>whether to compute a smaller and faster version, containing only the <code>term</code> and <code>estimate</code> columns.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>original data this was fitted on; if not given this will attempt to be reconstructed from nls (may not be successful)</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>new data frame to use for predictions</p> </td> </tr> </table> "	FALSE
"plm_tidiers"	"broom"	"Tidiers for panel regression linear models"	"<p>Tidiers for panel regression linear models </p>"	"<pre>## S3 method for class 'plm' tidy(x, conf.int = FALSE, conf.level = 0.95,<br />   exponentiate = FALSE, ...)<br />## S3 method for class 'plm' augment(x, data = as.data.frame(stats::model.frame(x)), ...)<br />## S3 method for class 'plm' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>a 'plm' object representing a panel object</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>whether to include a confidence interval</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level of the interval, used only if <code>conf.int=TRUE</code></p> </td> </tr> <tr valign='top'> <td><code>exponentiate</code></td> <td> <p>whether to exponentiate the coefficient estimates and confidence intervals</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments, not used</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>original dataset</p> </td> </tr> </table> "	FALSE
"poLCA_tidiers"	"broom"	"Tidiers for poLCA objects"	"<p>Tidiers for poLCA latent class regression models. Summarize the probabilities of each outcome for each variable within each class with <code>tidy</code>, add predictions to the data with <code>augment</code>, or find the log-likelihood/AIC/BIC with <code>glance</code>. </p>"	"<pre>## S3 method for class 'poLCA' tidy(x, ...)<br />## S3 method for class 'poLCA' augment(x, data, ...)<br />## S3 method for class 'poLCA' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>A poLCA object</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>Extra arguments, not used</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>For <code>augment</code>, the original dataset used to fit the latent class model. If not given, uses manifest variables in <code>x$y</code> and, if applicable, covariates in <code>x$x</code></p> </td> </tr> </table> "	FALSE
"prcomp_tidiers"	"broom"	"Tidying methods for principal components analysis via prcomp"	"<p>These tidiers operate on the results of a principal components analysis computed using <code>prcomp</code>. The <code>tidy</code> method returns a data frame with either the eigenvectors representing each row or each column. </p>"	"<pre>## S3 method for class 'prcomp' tidy(x, matrix = 'u', ...)<br />## S3 method for class 'prcomp' augment(x, data = NULL, newdata, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>an object of class <code>'prcomp'</code> resulting from a call to <code>prcomp</code></p> </td> </tr> <tr valign='top'> <td><code>matrix</code></td> <td> <p>character; Indicates which sets of eigenvectors are returned in tidy form. 'v', 'rotation', or 'variables' will return information about each variable, while 'u', 'x', or 'samples' (default) returns the loadings for each original row. 'd' or 'pcs' returns information about each principal component.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>Extra arguments, not used</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>the original data on which principal components analysis was performed. This cannot be recovered from <code>x</code>. If <code>newdata</code> is supplied, <code>data</code> is ignored. If both <code>data</code> and <code>newdata</code> are missing, only the fitted locations on the principal components are returned.</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>data frame; new observations for which locations on principal components are sought.</p> </td> </tr> </table> "	FALSE
"rowwise_df_tidiers"	"broom"	"Tidying methods for rowwise_dfs from dplyr, for tidying each row andrecombining the results"	"<p>These <code>tidy</code>, <code>augment</code> and <code>glance</code> methods are for performing tidying on each row of a rowwise data frame created by dplyr's <code>group_by</code> and <code>do</code> operations. They first group a rowwise data frame based on all columns that are not lists, then perform the tidying operation on the specified column. This greatly shortens a common idiom of extracting tidy/augment/glance outputs after a do statement. </p>"	"<pre>## S3 method for class 'rowwise_df' tidy(x, object, ...)<br />## S3 method for class 'rowwise_df' tidy_(x, object, ...)<br />## S3 method for class 'rowwise_df' augment(x, object, ...)<br />## S3 method for class 'rowwise_df' augment_(x, object, ...)<br />## S3 method for class 'rowwise_df' glance(x, object, ...)<br />## S3 method for class 'rowwise_df' glance_(x, object, ...)<br />## S3 method for class 'tbl_df' tidy(x, ...)<br />## S3 method for class 'tbl_df' augment(x, ...)<br />## S3 method for class 'tbl_df' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>a rowwise_df</p> </td> </tr> <tr valign='top'> <td><code>object</code></td> <td> <p>the column name of the column containing the models to be tidied. For tidy, augment, and glance it should be the bare name; for _ methods it should be quoted.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>additional arguments to pass on to the respective tidying method</p> </td> </tr> </table> "	FALSE
"rq_tidiers"	"broom"	"Tidying methods for quantile regression models"	"<p>These methods tidy the coefficients of a quantile regression model into a summary, augment the original data with information on the fitted values and residuals, and construct a glance of the model's statistics. </p>"	"<pre>## S3 method for class 'rq' tidy(x, se.type = 'rank', conf.int = TRUE, conf.level = 0.95,<br />   alpha = 1 - conf.level, ...)<br />## S3 method for class 'rqs' tidy(x, se.type = 'rank', conf.int = TRUE,<br />   conf.level = 0.95, alpha = 1 - conf.level, ...)<br />## S3 method for class 'nlrq' tidy(x, conf.int = FALSE, conf.level = 0.95, ...)<br />## S3 method for class 'rq' glance(x, ...)<br />## S3 method for class 'nlrq' glance(x, ...)<br />## S3 method for class 'rq' augment(x, data = model.frame(x), newdata, ...)<br />## S3 method for class 'rqs' augment(x, data = model.frame(x), newdata, ...)<br />## S3 method for class 'nlrq' augment(x, data = NULL, newdata = NULL, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>model object returned by <code>rq</code> or <code>nlrq</code></p> </td> </tr> <tr valign='top'> <td><code>se.type</code></td> <td> <p>Type of standard errors to calculate; see <code>summary.rq</code></p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>boolean; should confidence intervals be calculated, ignored if <code>se.type = 'rank'</code></p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level for intervals</p> </td> </tr> <tr valign='top'> <td><code>alpha</code></td> <td> <p>confidence level when <code>se.type = 'rank'</code>; defaults to the same as <code>conf.level</code> although the specification is inverted</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data, defaults to extracting it from the model</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>If provided, new data frame to use for predictions</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>other arguments passed on to <code>summary.rq</code></p> </td> </tr> </table> "	FALSE
"rq_tidiers"	"broom"	"Tidying methods for quantile regression models"	"<p>These methods tidy the coefficients of a quantile regression model into a summary, augment the original data with information on the fitted values and residuals, and construct a glance of the model's statistics. </p>"	"<pre>## S3 method for class 'rq' tidy(x, se.type = 'rank', conf.int = TRUE, conf.level = 0.95,<br />   alpha = 1 - conf.level, ...)<br />## S3 method for class 'rqs' tidy(x, se.type = 'rank', conf.int = TRUE,<br />   conf.level = 0.95, alpha = 1 - conf.level, ...)<br />## S3 method for class 'nlrq' tidy(x, conf.int = FALSE, conf.level = 0.95, ...)<br />## S3 method for class 'rq' glance(x, ...)<br />## S3 method for class 'nlrq' glance(x, ...)<br />## S3 method for class 'rq' augment(x, data = model.frame(x), newdata, ...)<br />## S3 method for class 'rqs' augment(x, data = model.frame(x), newdata, ...)<br />## S3 method for class 'nlrq' augment(x, data = NULL, newdata = NULL, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>model object returned by <code>rq</code> or <code>nlrq</code></p> </td> </tr> <tr valign='top'> <td><code>se.type</code></td> <td> <p>Type of standard errors to calculate; see <code>summary.rq</code></p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>boolean; should confidence intervals be calculated, ignored if <code>se.type = 'rank'</code></p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level for intervals</p> </td> </tr> <tr valign='top'> <td><code>alpha</code></td> <td> <p>confidence level when <code>se.type = 'rank'</code>; defaults to the same as <code>conf.level</code> although the specification is inverted</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data, defaults to extracting it from the model</p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>If provided, new data frame to use for predictions</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>other arguments passed on to <code>summary.rq</code></p> </td> </tr> </table> "	FALSE
"smooth.spline_tidiers"	"broom"	"tidying methods for smooth.spline objects"	"<p>This combines the original data given to smooth.spline with the fit and residuals </p>"	"<pre>## S3 method for class 'smooth.spline' augment(x, data = x$data, ...)<br />## S3 method for class 'smooth.spline' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>a smooth.spline object</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>defaults to data used to fit model</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>not used in this method</p> </td> </tr> </table> "	FALSE
"survreg_tidiers"	"broom"	"Tidiers for a parametric regression survival model"	"<p>Tidies the coefficients of a parametric survival regression model, from the 'survreg' function, adds fitted values and residuals, or summarizes the model statistics. </p>"	"<pre>## S3 method for class 'survreg' tidy(x, conf.level = 0.95, ...)<br />## S3 method for class 'survreg' augment(x, data = stats::model.frame(x), newdata,<br />   type.predict = 'response', type.residuals = 'response', ...)<br />## S3 method for class 'survreg' glance(x, conf.level = 0.95, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>a 'survreg' model</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level for CI</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>original data; if it is not provided, it is reconstructed as best as possible with <code>model.frame</code></p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>New data to use for prediction; optional</p> </td> </tr> <tr valign='top'> <td><code>type.predict</code></td> <td> <p>type of prediction, default 'response'</p> </td> </tr> <tr valign='top'> <td><code>type.residuals</code></td> <td> <p>type of residuals to calculate, default 'response'</p> </td> </tr> </table> "	FALSE
