"name"	"package"	"summary"	"Description"	"Usage"	"Arguments"	"error"
"friedman.test"	"stats"	"Friedman Rank Sum Test"	"<p>Performs a Friedman rank sum test with unreplicated blocked data. </p>"	"<pre>friedman.test(y, ...)<br />## Default S3 method: friedman.test(y, groups, blocks, ...)<br />## S3 method for class 'formula' friedman.test(formula, data, subset, na.action, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>y</code></td> <td> <p>either a numeric vector of data values, or a data matrix.</p> </td> </tr> <tr valign='top'> <td><code>groups</code></td> <td> <p>a vector giving the group for the corresponding elements of <code>y</code> if this is a vector;  ignored if <code>y</code> is a matrix.  If not a factor object, it is coerced to one.</p> </td> </tr> <tr valign='top'> <td><code>blocks</code></td> <td> <p>a vector giving the block for the corresponding elements of <code>y</code> if this is a vector;  ignored if <code>y</code> is a matrix.  If not a factor object, it is coerced to one.</p> </td> </tr> <tr valign='top'> <td><code>formula</code></td> <td> <p>a formula of the form <code>a ~ b | c</code>, where <code>a</code>, <code>b</code> and <code>c</code> give the data values and corresponding groups and blocks, respectively.</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>an optional matrix or data frame (or similar: see <code>model.frame</code>) containing the variables in the formula <code>formula</code>.  By default the variables are taken from <code>environment(formula)</code>.</p> </td> </tr> <tr valign='top'> <td><code>subset</code></td> <td> <p>an optional vector specifying a subset of observations to be used.</p> </td> </tr> <tr valign='top'> <td><code>na.action</code></td> <td> <p>a function which indicates what should happen when the data contain <code>NA</code>s.  Defaults to <code>getOption('na.action')</code>.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments to be passed to or from methods.</p> </td> </tr> </table> "	FALSE
"ftable"	"stats"	"Flat Contingency Tables"	"<p>Create ‘flat’ contingency tables.</p>"	"<pre>ftable(x, ...)<br />## Default S3 method: ftable(..., exclude = c(NA, NaN), row.vars = NULL,<br />        col.vars = NULL) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x, ...</code></td> <td> <p><span style='font-family: Courier New, Courier; color: #666666;'><b>R</b></span> objects which can be interpreted as factors (including character strings), or a list (or data frame) whose components can be so interpreted, or a contingency table object of class <code>'table'</code> or <code>'ftable'</code>.</p> </td> </tr> <tr valign='top'> <td><code>exclude</code></td> <td> <p>values to use in the exclude argument of <code>factor</code> when interpreting non-factor objects.</p> </td> </tr> <tr valign='top'> <td><code>row.vars</code></td> <td> <p>a vector of integers giving the numbers of the variables, or a character vector giving the names of the variables to be used for the rows of the flat contingency table.</p> </td> </tr> <tr valign='top'> <td><code>col.vars</code></td> <td> <p>a vector of integers giving the numbers of the variables, or a character vector giving the names of the variables to be used for the columns of the flat contingency table.</p> </td> </tr> </table> "	FALSE
"ftable.formula"	"stats"	"Formula Notation for Flat Contingency Tables"	"<p>Produce or manipulate a flat contingency table using formula notation.</p>"	"<pre>## S3 method for class 'formula' ftable(formula, data = NULL, subset, na.action, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>formula</code></td> <td> <p>a formula object with both left and right hand sides specifying the column and row variables of the flat table.</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>a data frame, list or environment (or similar: see <code>model.frame</code>) containing the variables to be cross-tabulated, or a contingency table (see below).</p> </td> </tr> <tr valign='top'> <td><code>subset</code></td> <td> <p>an optional vector specifying a subset of observations to be used. Ignored if <code>data</code> is a contingency table.</p> </td> </tr> <tr valign='top'> <td><code>na.action</code></td> <td> <p>a function which indicates what should happen when the data contain <code>NA</code>s. Ignored if <code>data</code> is a contingency table.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments to the default ftable method may also be passed as arguments, see <code>ftable.default</code>.</p> </td> </tr> </table> "	FALSE
"update"	"stats"	"Update and Re-fit a Model Call"	"<p><code>update</code> will update and (by default) re-fit a model.  It does this by extracting the call stored in the object, updating the call and (by default) evaluating that call.  Sometimes it is useful to call <code>update</code> with only one argument, for example if the data frame has been corrected. </p> <p>“Extracting the call” in <code>update()</code> and similar functions uses <code>getCall()</code> which itself is a (S3) generic function with a default method that simply gets <code>x$call</code>. </p> <p>Because of this, <code>update()</code> will often work (via its default method) on new model classes, either automatically, or by providing a simple <code>getCall()</code> method for that class. </p>"	"<pre>update(object, ...) ## Default S3 method: update(object, formula., ..., evaluate = TRUE)<br />getCall(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>object, x</code></td> <td> <p>An existing fit from a model function such as <code>lm</code>, <code>glm</code> and many others.</p> </td> </tr> <tr valign='top'> <td><code>formula.</code></td> <td> <p>Changes to the formula – see <code>update.formula</code> for details.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>Additional arguments to the call, or arguments with changed values. Use <code>name = NULL</code> to remove the argument <code>name</code>.</p> </td> </tr> <tr valign='top'> <td><code>evaluate</code></td> <td> <p>If true evaluate the new call else return the call.</p> </td> </tr> </table> "	FALSE
"getInitial"	"stats"	"Get Initial Parameter Estimates"	"<p>This function evaluates initial parameter estimates for a nonlinear regression model.  If <code>data</code> is a parameterized data frame or <code>pframe</code> object, its <code>parameters</code> attribute is returned. Otherwise the object is examined to see if it contains a call to a <code>selfStart</code> object whose <code>initial</code> attribute can be evaluated. </p>"	"<pre>getInitial(object, data, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>object</code></td> <td> <p>a formula or a <code>selfStart</code> model that defines a nonlinear regression model</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>a data frame in which the expressions in the formula or arguments to the <code>selfStart</code> model can be evaluated</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>optional additional arguments</p> </td> </tr> </table> "	FALSE
"model.frame"	"stats"	"Extracting the Model Frame from a Formula or Fit"	"<p><code>model.frame</code> (a generic function) and its methods return a <code>data.frame</code> with the variables needed to use <code>formula</code> and any <code>...</code> arguments. </p>"	"<pre>model.frame(formula, ...)<br />## Default S3 method: model.frame(formula, data = NULL,<br />             subset = NULL, na.action = na.fail,<br />             drop.unused.levels = FALSE, xlev = NULL, ...)<br />## S3 method for class 'aovlist' model.frame(formula, data = NULL, ...)<br />## S3 method for class 'glm' model.frame(formula, ...)<br />## S3 method for class 'lm' model.frame(formula, ...)<br />get_all_vars(formula, data, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>formula</code></td> <td> <p>a model <code>formula</code> or <code>terms</code> object or an <span style='font-family: Courier New, Courier; color: #666666;'><b>R</b></span> object.</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>a data.frame, list or environment (or object coercible by <code>as.data.frame</code> to a data.frame), containing the variables in <code>formula</code>.  Neither a matrix nor an array will be accepted.</p> </td> </tr> <tr valign='top'> <td><code>subset</code></td> <td> <p>a specification of the rows to be used: defaults to all rows. This can be any valid indexing vector (see <code>[.data.frame</code>) for the rows of <code>data</code> or if that is not supplied, a data frame made up of the variables used in <code>formula</code>.</p> </td> </tr> <tr valign='top'> <td><code>na.action</code></td> <td> <p>how <code>NA</code>s are treated.  The default is first, any <code>na.action</code> attribute of <code>data</code>, second a <code>na.action</code> setting of <code>options</code>, and third <code>na.fail</code> if that is unset.  The ‘factory-fresh’ default is <code>na.omit</code>.  Another possible value is <code>NULL</code>.</p> </td> </tr> <tr valign='top'> <td><code>drop.unused.levels</code></td> <td> <p>should factors have unused levels dropped? Defaults to <code>FALSE</code>.</p> </td> </tr> <tr valign='top'> <td><code>xlev</code></td> <td> <p>a named list of character vectors giving the full set of levels to be assumed for each factor.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments such as <code>data</code>, <code>na.action</code>, <code>subset</code>.  Any additional arguments such as <code>offset</code> and <code>weights</code> which reach the default method are used to create further columns in the model frame, with parenthesised names such as <code>'(offset)'</code>.</p> </td> </tr> </table> "	FALSE
"glm"	"stats"	"Fitting Generalized Linear Models"	"<p><code>glm</code> is used to fit generalized linear models, specified by giving a symbolic description of the linear predictor and a description of the error distribution. </p>"	"<pre>glm(formula, family = gaussian, data, weights, subset,<br />     na.action, start = NULL, etastart, mustart, offset,<br />     control = list(...), model = TRUE, method = 'glm.fit',<br />     x = FALSE, y = TRUE, contrasts = NULL, ...)<br />glm.fit(x, y, weights = rep(1, nobs),<br />         start = NULL, etastart = NULL, mustart = NULL,<br />         offset = rep(0, nobs), family = gaussian(),<br />         control = list(), intercept = TRUE)<br />## S3 method for class 'glm' weights(object, type = c('prior', 'working'), ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>formula</code></td> <td> <p>an object of class <code>'formula'</code> (or one that can be coerced to that class): a symbolic description of the model to be fitted.  The details of model specification are given under ‘Details’.</p> </td> </tr> <tr valign='top'> <td><code>family</code></td> <td> <p>a description of the error distribution and link function to be used in the model.  For <code>glm</code> this can be a character string naming a family function, a family function or the result of a call to a family function.  For <code>glm.fit</code> only the third option is supported.  (See <code>family</code> for details of family functions.)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>an optional data frame, list or environment (or object coercible by <code>as.data.frame</code> to a data frame) containing the variables in the model.  If not found in <code>data</code>, the variables are taken from <code>environment(formula)</code>, typically the environment from which <code>glm</code> is called.</p> </td> </tr> <tr valign='top'> <td><code>weights</code></td> <td> <p>an optional vector of ‘prior weights’ to be used in the fitting process.  Should be <code>NULL</code> or a numeric vector.</p> </td> </tr> <tr valign='top'> <td><code>subset</code></td> <td> <p>an optional vector specifying a subset of observations to be used in the fitting process.</p> </td> </tr> <tr valign='top'> <td><code>na.action</code></td> <td> <p>a function which indicates what should happen when the data contain <code>NA</code>s.  The default is set by the <code>na.action</code> setting of <code>options</code>, and is <code>na.fail</code> if that is unset.  The ‘factory-fresh’ default is <code>na.omit</code>.  Another possible value is <code>NULL</code>, no action.  Value <code>na.exclude</code> can be useful.</p> </td> </tr> <tr valign='top'> <td><code>start</code></td> <td> <p>starting values for the parameters in the linear predictor.</p> </td> </tr> <tr valign='top'> <td><code>etastart</code></td> <td> <p>starting values for the linear predictor.</p> </td> </tr> <tr valign='top'> <td><code>mustart</code></td> <td> <p>starting values for the vector of means.</p> </td> </tr> <tr valign='top'> <td><code>offset</code></td> <td> <p>this can be used to specify an <em>a priori</em> known component to be included in the linear predictor during fitting. This should be <code>NULL</code> or a numeric vector of length equal to the number of cases.  One or more <code>offset</code> terms can be included in the formula instead or as well, and if more than one is specified their sum is used.  See <code>model.offset</code>.</p> </td> </tr> <tr valign='top'> <td><code>control</code></td> <td> <p>a list of parameters for controlling the fitting process.  For <code>glm.fit</code> this is passed to <code>glm.control</code>.</p> </td> </tr> <tr valign='top'> <td><code>model</code></td> <td> <p>a logical value indicating whether <em>model frame</em> should be included as a component of the returned value.</p> </td> </tr> <tr valign='top'> <td><code>method</code></td> <td> <p>the method to be used in fitting the model.  The default method <code>'glm.fit'</code> uses iteratively reweighted least squares (IWLS): the alternative <code>'model.frame'</code> returns the model frame and does no fitting. </p> <p>User-supplied fitting functions can be supplied either as a function or a character string naming a function, with a function which takes the same arguments as <code>glm.fit</code>.  If specified as a character string it is looked up from within the <span class='pkg'>stats</span> namespace. </p> </td> </tr> <tr valign='top'> <td><code>x, y</code></td> <td> <p>For <code>glm</code>: logical values indicating whether the response vector and model matrix used in the fitting process should be returned as components of the returned value. </p> <p>For <code>glm.fit</code>: <code>x</code> is a design matrix of dimension <code>n * p</code>, and <code>y</code> is a vector of observations of length <code>n</code>. </p> </td> </tr> <tr valign='top'> <td><code>contrasts</code></td> <td> <p>an optional list. See the <code>contrasts.arg</code> of <code>model.matrix.default</code>.</p> </td> </tr> <tr valign='top'> <td><code>intercept</code></td> <td> <p>logical. Should an intercept be included in the <em>null</em> model?</p> </td> </tr> <tr valign='top'> <td><code>object</code></td> <td> <p>an object inheriting from class <code>'glm'</code>.</p> </td> </tr> <tr valign='top'> <td><code>type</code></td> <td> <p>character, partial matching allowed.  Type of weights to extract from the fitted model object.  Can be abbreviated.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td><br /><p>For <code>glm</code>: arguments to be used to form the default <code>control</code> argument if it is not supplied directly. </p> <p>For <code>weights</code>: further arguments passed to or from other methods. </p> </td> </tr> </table> "	FALSE
"glm.control"	"stats"	"Auxiliary for Controlling GLM Fitting"	"<p>Auxiliary function for <code>glm</code> fitting. Typically only used internally by <code>glm.fit</code>, but may be used to construct a <code>control</code> argument to either function. </p>"	"<pre>glm.control(epsilon = 1e-8, maxit = 25, trace = FALSE) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>epsilon</code></td> <td> <p>positive convergence tolerance <i>ε</i>; the iterations converge when <i>|dev - dev_{old}|/(|dev| + 0.1) &lt; ε</i>.</p> </td> </tr> <tr valign='top'> <td><code>maxit</code></td> <td> <p>integer giving the maximal number of IWLS iterations.</p> </td> </tr> <tr valign='top'> <td><code>trace</code></td> <td> <p>logical indicating if output should be produced for each iteration.</p> </td> </tr> </table> "	FALSE
"tsp"	"stats"	"Tsp Attribute of Time-Series-like Objects"	"<p><code>tsp</code> returns the <code>tsp</code> attribute (or <code>NULL</code>). It is included for compatibility with S version 2. <code>tsp&lt;-</code> sets the <code>tsp</code> attribute. <code>hasTsp</code> ensures <code>x</code> has a <code>tsp</code> attribute, by adding one if needed. </p>"	"<pre>tsp(x) tsp(x) &lt;- value hasTsp(x) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>a vector or matrix or univariate or multivariate time-series.</p> </td> </tr> <tr valign='top'> <td><code>value</code></td> <td> <p>a numeric vector of length 3 or <code>NULL</code>.</p> </td> </tr> </table> "	FALSE
"hclust"	"stats"	"Hierarchical Clustering"	"<p>Hierarchical cluster analysis on a set of dissimilarities and methods for analyzing it. </p>"	"<pre>hclust(d, method = 'complete', members = NULL)<br />## S3 method for class 'hclust' plot(x, labels = NULL, hang = 0.1, check = TRUE,<br />      axes = TRUE, frame.plot = FALSE, ann = TRUE,<br />      main = 'Cluster Dendrogram',<br />      sub = NULL, xlab = NULL, ylab = 'Height', ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>d</code></td> <td> <p>a dissimilarity structure as produced by <code>dist</code>.</p> </td> </tr> <tr valign='top'> <td><code>method</code></td> <td> <p>the agglomeration method to be used.  This should be (an unambiguous abbreviation of) one of <code>'ward.D'</code>, <code>'ward.D2'</code>, <code>'single'</code>, <code>'complete'</code>, <code>'average'</code> (= UPGMA), <code>'mcquitty'</code> (= WPGMA), <code>'median'</code> (= WPGMC) or <code>'centroid'</code> (= UPGMC).</p> </td> </tr> <tr valign='top'> <td><code>members</code></td> <td> <p><code>NULL</code> or a vector with length size of <code>d</code>. See the ‘Details’ section.</p> </td> </tr> <tr valign='top'> <td><code>x</code></td> <td> <p>an object of the type produced by <code>hclust</code>.</p> </td> </tr> <tr valign='top'> <td><code>hang</code></td> <td> <p>The fraction of the plot height by which labels should hang below the rest of the plot. A negative value will cause the labels to hang down from 0.</p> </td> </tr> <tr valign='top'> <td><code>check</code></td> <td> <p>logical indicating if the <code>x</code> object should be checked for validity.  This check is not necessary when <code>x</code> is known to be valid such as when it is the direct result of <code>hclust()</code>.  The default is <code>check=TRUE</code>, as invalid inputs may crash <span style='font-family: Courier New, Courier; color: #666666;'><b>R</b></span> due to memory violation in the internal C plotting code.</p> </td> </tr> <tr valign='top'> <td><code>labels</code></td> <td> <p>A character vector of labels for the leaves of the tree.  By default the row names or row numbers of the original data are used.  If <code>labels = FALSE</code> no labels at all are plotted.</p> </td> </tr> <tr valign='top'> <td><code>axes, frame.plot, ann</code></td> <td> <p>logical flags as in <code>plot.default</code>.</p> </td> </tr> <tr valign='top'> <td><code>main, sub, xlab, ylab</code></td> <td> <p>character strings for <code>title</code>.  <code>sub</code> and <code>xlab</code> have a non-NULL default when there's a <code>tree$call</code>.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>Further graphical arguments.  E.g., <code>cex</code> controls the size of the labels (if plotted) in the same way as <code>text</code>.</p> </td> </tr> </table> "	FALSE
"heatmap"	"stats"	" Draw a Heat Map "	"<p>A heat map is a false color image (basically <code>image(t(x))</code>) with a dendrogram added to the left side and to the top.  Typically, reordering of the rows and columns according to some set of values (row or column means) within the restrictions imposed by the dendrogram is carried out. </p>"	"<pre>heatmap(x, Rowv = NULL, Colv = if(symm)'Rowv' else NULL,<br />         distfun = dist, hclustfun = hclust,<br />         reorderfun = function(d, w) reorder(d, w),<br />         add.expr, symm = FALSE, revC = identical(Colv, 'Rowv'),<br />         scale = c('row', 'column', 'none'), na.rm = TRUE,<br />         margins = c(5, 5), ColSideColors, RowSideColors,<br />         cexRow = 0.2 + 1/log10(nr), cexCol = 0.2 + 1/log10(nc),<br />         labRow = NULL, labCol = NULL, main = NULL,<br />         xlab = NULL, ylab = NULL,<br />         keep.dendro = FALSE, verbose = getOption('verbose'), ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>numeric matrix of the values to be plotted. </p> </td> </tr> <tr valign='top'> <td><code>Rowv</code></td> <td> <p>determines if and how the <em>row</em> dendrogram should be computed and reordered.  Either a <code>dendrogram</code> or a vector of values used to reorder the row dendrogram or <code>NA</code> to suppress any row dendrogram (and reordering) or by default, <code>NULL</code>, see ‘Details’ below.</p> </td> </tr> <tr valign='top'> <td><code>Colv</code></td> <td> <p>determines if and how the <em>column</em> dendrogram should be reordered.  Has the same options as the <code>Rowv</code> argument above and <em>additionally</em> when <code>x</code> is a square matrix, <code>Colv =<br />       'Rowv'</code> means that columns should be treated identically to the rows (and so if there is to be no row dendrogram there will not be a column one either).</p> </td> </tr> <tr valign='top'> <td><code>distfun</code></td> <td> <p>function used to compute the distance (dissimilarity) between both rows and columns.  Defaults to <code>dist</code>.</p> </td> </tr> <tr valign='top'> <td><code>hclustfun</code></td> <td> <p>function used to compute the hierarchical clustering when <code>Rowv</code> or <code>Colv</code> are not dendrograms.  Defaults to <code>hclust</code>. Should take as argument a result of <code>distfun</code> and return an object to which <code>as.dendrogram</code> can be applied.</p> </td> </tr> <tr valign='top'> <td><code>reorderfun</code></td> <td> <p><code>function(d, w)</code> of dendrogram and weights for reordering the row and column dendrograms.  The default uses <code>reorder.dendrogram</code>.</p> </td> </tr> <tr valign='top'> <td><code>add.expr</code></td> <td> <p>expression that will be evaluated after the call to <code>image</code>.  Can be used to add components to the plot.</p> </td> </tr> <tr valign='top'> <td><code>symm</code></td> <td> <p>logical indicating if <code>x</code> should be treated <b>symm</b>etrically; can only be true when <code>x</code> is a square matrix.</p> </td> </tr> <tr valign='top'> <td><code>revC</code></td> <td> <p>logical indicating if the column order should be <code>rev</code>ersed for plotting, such that e.g., for the symmetric case, the symmetry axis is as usual.</p> </td> </tr> <tr valign='top'> <td><code>scale</code></td> <td> <p>character indicating if the values should be centered and scaled in either the row direction or the column direction, or none.  The default is <code>'row'</code> if <code>symm</code> false, and <code>'none'</code> otherwise.</p> </td> </tr> <tr valign='top'> <td><code>na.rm</code></td> <td> <p>logical indicating whether <code>NA</code>'s should be removed.</p> </td> </tr> <tr valign='top'> <td><code>margins</code></td> <td> <p>numeric vector of length 2 containing the margins (see <code>par(mar = *)</code>) for column and row names, respectively.</p> </td> </tr> <tr valign='top'> <td><code>ColSideColors</code></td> <td> <p>(optional) character vector of length <code>ncol(x)</code> containing the color names for a horizontal side bar that may be used to annotate the columns of <code>x</code>.</p> </td> </tr> <tr valign='top'> <td><code>RowSideColors</code></td> <td> <p>(optional) character vector of length <code>nrow(x)</code> containing the color names for a vertical side bar that may be used to annotate the rows of <code>x</code>.</p> </td> </tr> <tr valign='top'> <td><code>cexRow, cexCol</code></td> <td> <p>positive numbers, used as <code>cex.axis</code> in for the row or column axis labeling.  The defaults currently only use number of rows or columns, respectively.</p> </td> </tr> <tr valign='top'> <td><code>labRow, labCol</code></td> <td> <p>character vectors with row and column labels to use; these default to <code>rownames(x)</code> or <code>colnames(x)</code>, respectively.</p> </td> </tr> <tr valign='top'> <td><code>main, xlab, ylab</code></td> <td> <p>main, x- and y-axis titles; defaults to none.</p> </td> </tr> <tr valign='top'> <td><code>keep.dendro</code></td> <td> <p>logical indicating if the dendrogram(s) should be kept as part of the result (when <code>Rowv</code> and/or <code>Colv</code> are not NA).</p> </td> </tr> <tr valign='top'> <td><code>verbose</code></td> <td> <p>logical indicating if information should be printed.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>additional arguments passed on to <code>image</code>, e.g., <code>col</code> specifying the colors.</p> </td> </tr> </table> "	FALSE
"HoltWinters"	"stats"	"Holt-Winters Filtering"	"<p>Computes Holt-Winters Filtering of a given time series. Unknown parameters are determined by minimizing the squared prediction error. </p>"	"<pre>HoltWinters(x, alpha = NULL, beta = NULL, gamma = NULL,<br />             seasonal = c('additive', 'multiplicative'),<br />             start.periods = 2, l.start = NULL, b.start = NULL,<br />             s.start = NULL,<br />             optim.start = c(alpha = 0.3, beta = 0.1, gamma = 0.1),<br />             optim.control = list()) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>An object of class <code>ts</code></p> </td> </tr> <tr valign='top'> <td><code>alpha</code></td> <td> <p><i>alpha</i> parameter of Holt-Winters Filter.</p> </td> </tr> <tr valign='top'> <td><code>beta</code></td> <td> <p><i>beta</i> parameter of Holt-Winters Filter. If set to <code>FALSE</code>, the function will do exponential smoothing.</p> </td> </tr> <tr valign='top'> <td><code>gamma</code></td> <td> <p><i>gamma</i> parameter used for the seasonal component. If set to <code>FALSE</code>, an non-seasonal model is fitted.</p> </td> </tr> <tr valign='top'> <td><code>seasonal</code></td> <td> <p>Character string to select an <code>'additive'</code> (the default) or <code>'multiplicative'</code> seasonal model. The first few characters are sufficient. (Only takes effect if <code>gamma</code> is non-zero).</p> </td> </tr> <tr valign='top'> <td><code>start.periods</code></td> <td> <p>Start periods used in the autodetection of start values. Must be at least 2.</p> </td> </tr> <tr valign='top'> <td><code>l.start</code></td> <td> <p>Start value for level (a[0]).</p> </td> </tr> <tr valign='top'> <td><code>b.start</code></td> <td> <p>Start value for trend (b[0]).</p> </td> </tr> <tr valign='top'> <td><code>s.start</code></td> <td> <p>Vector of start values for the seasonal component (<i>s_1[0] … s_p[0]</i>)</p> </td> </tr> <tr valign='top'> <td><code>optim.start</code></td> <td> <p>Vector with named components <code>alpha</code>, <code>beta</code>, and <code>gamma</code> containing the starting values for the optimizer. Only the values needed must be specified.  Ignored in the one-parameter case.</p> </td> </tr> <tr valign='top'> <td><code>optim.control</code></td> <td> <p>Optional list with additional control parameters passed to <code>optim</code> if this is used.  Ignored in the one-parameter case.</p> </td> </tr> </table> "	FALSE
"identify.hclust"	"stats"	"Identify Clusters in a Dendrogram"	"<p><code>identify.hclust</code> reads the position of the graphics pointer when the (first) mouse button is pressed.  It then cuts the tree at the vertical position of the pointer and highlights the cluster containing the horizontal position of the pointer.  Optionally a function is applied to the index of data points contained in the cluster. </p>"	"<pre>## S3 method for class 'hclust' identify(x, FUN = NULL, N = 20, MAXCLUSTER = 20, DEV.FUN = NULL,<br />           ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>an object of the type produced by <code>hclust</code>.</p> </td> </tr> <tr valign='top'> <td><code>FUN</code></td> <td> <p>(optional) function to be applied to the index numbers of the data points in a cluster (see ‘Details’ below).</p> </td> </tr> <tr valign='top'> <td><code>N</code></td> <td> <p>the maximum number of clusters to be identified.</p> </td> </tr> <tr valign='top'> <td><code>MAXCLUSTER</code></td> <td> <p>the maximum number of clusters that can be produced by a cut (limits the effective vertical range of the pointer). </p> </td> </tr> <tr valign='top'> <td><code>DEV.FUN</code></td> <td> <p>(optional) integer scalar. If specified, the corresponding graphics device is made active before <code>FUN</code> is applied.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments to <code>FUN</code>.</p> </td> </tr> </table> "	FALSE
"lm.influence"	"stats"	"Regression Diagnostics"	"<p>This function provides the basic quantities which are used in forming a wide variety of diagnostics for checking the quality of regression fits. </p>"	"<pre>influence(model, ...) ## S3 method for class 'lm' influence(model, do.coef = TRUE, ...) ## S3 method for class 'glm' influence(model, do.coef = TRUE, ...)<br />lm.influence(model, do.coef = TRUE) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>model</code></td> <td> <p>an object as returned by <code>lm</code> or <code>glm</code>.</p> </td> </tr> <tr valign='top'> <td><code>do.coef</code></td> <td> <p>logical indicating if the changed <code>coefficients</code> (see below) are desired.  These need <i>O(n^2 p)</i> computing time.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments passed to or from other methods.</p> </td> </tr> </table> "	FALSE
"integrate"	"stats"	"Integration of One-Dimensional Functions"	"<p>Adaptive quadrature of functions of one variable over a finite or infinite interval. </p>"	"<pre>integrate(f, lower, upper, ..., subdivisions = 100L,<br />           rel.tol = .Machine$double.eps^0.25, abs.tol = rel.tol,<br />           stop.on.error = TRUE, keep.xy = FALSE, aux = NULL) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>f</code></td> <td> <p>an <span style='font-family: Courier New, Courier; color: #666666;'><b>R</b></span> function taking a numeric first argument and returning a numeric vector of the same length.  Returning a non-finite element will generate an error.</p> </td> </tr> <tr valign='top'> <td><code>lower, upper</code></td> <td> <p>the limits of integration.  Can be infinite.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>additional arguments to be passed to <code>f</code>.</p> </td> </tr> <tr valign='top'> <td><code>subdivisions</code></td> <td> <p>the maximum number of subintervals.</p> </td> </tr> <tr valign='top'> <td><code>rel.tol</code></td> <td> <p>relative accuracy requested.</p> </td> </tr> <tr valign='top'> <td><code>abs.tol</code></td> <td> <p>absolute accuracy requested.</p> </td> </tr> <tr valign='top'> <td><code>stop.on.error</code></td> <td> <p>logical. If true (the default) an error stops the function.  If false some errors will give a result with a warning in the <code>message</code> component.</p> </td> </tr> <tr valign='top'> <td><code>keep.xy</code></td> <td> <p>unused.  For compatibility with S.</p> </td> </tr> <tr valign='top'> <td><code>aux</code></td> <td> <p>unused.  For compatibility with S.</p> </td> </tr> </table> "	FALSE
